Round,Tricks,Type,haz_bid,haz_won,haz_score,oli_bid,oli_won,oli_score,john_bid,john_won,john_score,flash_bid,flash_won,flash_score,frank_bid,frank_won,frank_score,pete_bid,pete_won,pete_score,TotalBid,TotalWon
1,1,normal,0,1,0,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1
2,2,normal,1,1,13,0,0,10,1,0,0,1,1,13,0,0,10,0,0,10,3,2
3,3,normal,0,0,10,1,1,13,0,0,10,0,0,10,1,1,13,0,1,0,2,3
4,4,normal,0,0,10,0,1,0,0,0,10,1,1,13,1,1,13,1,1,13,3,4
5,5,normal,0,0,10,1,1,13,0,0,10,2,1,0,2,1,0,1,2,0,6,5
6,6,normal,2,3,0,1,1,13,0,0,10,1,1,13,0,0,10,1,1,13,5,6
7,7,normal,1,1,13,2,2,16,2,2,16,0,0,10,0,0,10,3,2,0,8,7
8,8,normal,2,2,16,1,1,13,0,1,0,1,1,13,2,1,0,3,2,0,9,8
9,8,BID,5,4,0,0,0,10,0,0,10,4,3,0,1,0,0,2,1,0,12,8
10,8,BLIND,1,1,13,2,0,0,1,1,13,2,1,0,2,2,16,2,3,0,10,8
11,8,HALF-BLIND,1,0,0,0,2,0,2,1,0,2,1,0,4,3,0,1,1,13,10,8
12,8,BONUS,,,14,,,0,,,0,,,7,,,5,,,10,,
13,8,ANARCHY,3,2,0,0,2,0,1,1,13,1,2,0,2,1,0,0,0,10,7,8
14,7,normal,2,2,16,2,0,0,1,1,13,1,1,13,2,2,16,1,1,13,9,7
15,6,normal,0,0,10,1,1,13,0,1,0,0,0,10,3,3,19,1,1,13,5,6
16,5,normal,2,1,0,0,0,10,0,0,10,1,2,0,1,1,13,2,1,0,6,5
17,4,normal,1,1,13,2,2,16,0,1,0,0,0,10,0,0,10,0,0,10,3,4
18,3,normal,1,0,0,0,0,10,1,1,13,1,1,13,1,1,13,0,0,10,4,3
19,2,normal,0,0,10,0,2,0,0,0,10,0,0,10,0,0,10,0,0,10,0,2
20,1,normal,0,0,10,1,0,0,0,0,10,0,0,10,0,0,10,1,1,13,2,1
21,1,MISÈRE,,,-10,,,0,,,-10,,,-5,,,-5,,,-10,,
TOTAL,,,,,148,,,147,,,148,,,150,,,173,,,138,,
