Round,Tricks,Type,haz_bid,haz_won,haz_score,john_bid,john_won,john_score,oli_bid,oli_won,oli_score,pete_bid,pete_won,pete_score,frank_bid,frank_won,frank_score,flash_bid,flash_won,flash_score,TotalBid,TotalWon
1,1,normal,1,0,0,0,1,0,0,0,10,1,0,0,0,0,10,0,0,10,2,1
2,2,normal,0,0,10,2,1,0,1,0,0,0,0,10,0,0,10,0,1,0,3,2
3,3,normal,0,0,10,0,0,10,1,0,0,2,0,0,2,2,16,1,1,13,6,3
4,4,normal,0,0,10,1,1,13,1,1,13,1,0,0,2,2,16,1,0,0,6,4
5,5,normal,1,1,13,0,0,10,0,0,10,1,1,13,2,2,16,2,1,0,6,5
6,6,normal,2,2,16,2,2,16,0,0,10,2,1,0,0,0,10,1,1,13,7,6
7,7,normal,1,0,0,0,0,10,1,2,0,0,0,10,2,2,16,2,3,0,6,7
8,8,BID,1,2,0,1,1,13,1,0,0,2,2,16,1,1,13,1,2,0,7,8
9,8,BID MISÈRE,2,2,0,2,2,0,1,0,0,3,2,-10,4,2,-10,2,0,0,14,8
10,8,ASCENDING MADNESS,1,1,13,3,3,25,1,1,13,3,1,0,1,1,13,3,1,0,12,8
11,8,BLIND,2,2,16,1,2,0,1,0,0,2,2,16,2,2,16,2,0,0,10,8
12,8,HARVEST,3,1,3,2,2,16,0,0,10,0,0,10,1,1,13,4,4,22,10,8
13,8,normal,2,2,16,1,0,0,2,3,0,1,0,0,2,1,0,2,2,16,10,8
14,7,normal,2,1,0,2,2,16,0,0,10,2,1,0,1,2,0,1,1,13,8,7
15,6,normal,2,4,0,0,0,10,0,0,10,1,0,0,1,1,13,1,1,13,5,6
16,5,normal,1,0,0,0,0,10,0,0,10,2,2,16,0,2,0,1,1,13,4,5
17,4,normal,1,0,0,0,0,10,0,0,10,3,3,19,0,1,0,1,0,0,5,4
18,3,normal,2,1,0,1,0,0,0,0,10,0,1,0,1,1,13,0,0,10,4,3
19,2,normal,1,2,0,1,0,0,0,0,10,1,0,0,0,0,10,0,0,10,3,2
20,1,normal,0,0,10,0,0,10,0,1,0,0,0,10,0,0,10,0,0,10,0,1
21,1,MISÈRE,,,-5,,,0,,,-10,,,-10,,,-10,,,-5,,
TOTAL,,,,,112,,,169,,,116,,,100,,,175,,,138,,
